Company Name,Industry,Symbol
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS
Latent View Analytics Ltd.,Information Technology,LATENTVIEW
Laurus Labs Ltd.,Healthcare,LAURUSLABS
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE
MMTC Ltd.,Services,MMTC
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE
Manappuram Finance Ltd.,Financial Services,MANAPPURAM
Mastek Ltd.,Information Technology,MASTEK
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
NBCC (India) Ltd.,Construction,NBCC
NCC Ltd.,Construction,NCC
NMDC Steel Ltd.,Metals & Mining,NSLNISP
Narayana Hrudayalaya Ltd.,Healthcare,NH
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR
Netweb Technologies India Ltd.,Information Technology,NETWEB
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
Newgen Software Technologies Ltd.,Information Technology,NEWGEN
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA
PCBL Ltd.,Chemicals,PCBL
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
PNC Infratech Ltd.,Construction,PNCINFRA
PTC Industries Ltd.,Capital Goods,PTCIL
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Pfizer Ltd.,Healthcare,PFIZER
Piramal Enterprises Ltd.,Financial Services,PEL
Piramal Pharma Ltd.,Healthcare,PPLPHARMA
Poly Medicure Ltd.,Healthcare,POLYMED
Praj Industries Ltd.,Capital Goods,PRAJIND
Quess Corp Ltd.,Services,QUESS
R R Kabel Ltd.,Capital Goods,RRKABEL
RBL Bank Ltd.,Financial Services,RBLBANK
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
RITES Ltd.,Construction,RITES
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA
Raymond Ltd.,Realty,RAYMOND
Redington Ltd.,Services,REDINGTON
Route Mobile Ltd.,Telecommunication,ROUTE
SBFC Finance Ltd.,Financial Services,SBFC
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP
Sanofi India Ltd.,Healthcare,SANOFI
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER
Shipping Corporation of India Ltd.,Services,SCI
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL
Signatureglobal (India) Ltd.,Realty,SIGNATURE
Sobha Ltd.,Realty,SOBHA
Sonata Software Ltd.,Information Technology,SONATSOFTW
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR
Swan Energy Ltd.,Diversified,SWANENERGY
Syrma SGS Technology Ltd.,Capital Goods,SYRMA
TBO Tek Ltd.,Consumer Services,TBOTEK
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST
TVS Supply Chain Solutions Ltd.,Services,TVSSCS
Tanla Platforms Ltd.,Information Technology,TANLA
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE
Tejas Networks Ltd.,Telecommunication,TEJASNET
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH
Trident Ltd.,Textiles,TRIDENT
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
UCO Bank,Financial Services,UCOBANK
UTI Asset Management Company Ltd.,Financial Services,UTIAMC
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB
Usha Martin Ltd.,Capital Goods,USHAMART
V-Guard Industries Ltd.,Consumer Durables,VGUARD
V.I.P. Industries Ltd.,Consumer Durables,VIPIND
Valor Estate Ltd.,Realty,DBREALTY
Vardhman Textiles Ltd.,Textiles,VTL
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC
Vedant Fashions Ltd.,Consumer Services,MANYAVAR
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
Vinati Organics Ltd.,Chemicals,VINATIORGA
Welspun Corp Ltd.,Capital Goods,WELCORP
Welspun Living Ltd.,Textiles,WELSPUNLIV
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH
eClerx Services Ltd.,Services,ECLERX
3M India Ltd.,Diversified,3MINDIA
ACC Ltd.,Construction Materials,ACC
AIA Engineering Ltd.,Capital Goods,AIAENG
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
AU Small Finance Bank Ltd.,Financial Services,AUBANK
Abbott India Ltd.,Healthcare,ABBOTINDIA
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
Alkem Laboratories Ltd.,Healthcare,ALKEM
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Astral Ltd.,Capital Goods,ASTRAL
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
BSE Ltd.,Financial Services,BSE
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
Bandhan Bank Ltd.,Financial Services,BANDHANBNK
Bank of India,Financial Services,BANKINDIA
Bank of Maharashtra,Financial Services,MAHABANK
Bayer Cropscience Ltd.,Chemicals,BAYERCROP
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT
Bharat Dynamics Ltd.,Capital Goods,BDL
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA
Biocon Ltd.,Healthcare,BIOCON
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
CRISIL Ltd.,Financial Services,CRISIL
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
Coforge Ltd.,Information Technology,COFORGE
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
Container Corporation of India Ltd.,Services,CONCOR
Coromandel International Ltd.,Chemicals,COROMANDEL
Cummins India Ltd.,Capital Goods,CUMMINSIND
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR
Delhivery Ltd.,Services,DELHIVERY
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE
Escorts Kubota Ltd.,Capital Goods,ESCORTS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA
Federal Bank Ltd.,Financial Services,FEDERALBNK
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT
Fortis Healthcare Ltd.,Healthcare,FORTIS
GMR Airports Infrastructure Ltd.,Services,GMRINFRA
General Insurance Corporation of India,Financial Services,GICRE
Gland Pharma Ltd.,Healthcare,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO
Global Health Ltd.,Healthcare,MEDANTA
Godrej Industries Ltd.,Diversified,GODREJIND
Godrej Properties Ltd.,Realty,GODREJPROP
Grindwell Norton Ltd.,Capital Goods,GRINDWELL
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
Honeywell Automation India Ltd.,Capital Goods,HONAUT
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
IDBI Bank Ltd.,Financial Services,IDBI
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB
IRB Infrastructure Developers Ltd.,Construction,IRB
Indian Bank,Financial Services,INDIANB
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL
Indian Overseas Bank,Financial Services,IOB
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL
Indus Towers Ltd.,Telecommunication,INDUSTOWER
Ipca Laboratories Ltd.,Healthcare,IPCALAB
J.K. Cement Ltd.,Construction Materials,JKCEMENT
JSW Infrastructure Ltd.,Services,JSWINFRA
Jindal Stainless Ltd.,Metals & Mining,JSL
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD
K.P.R. Mill Ltd.,Textiles,KPRMILL
KEI Industries Ltd.,Capital Goods,KEI
KPIT Technologies Ltd.,Information Technology,KPITTECH
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL
L&T Finance Ltd.,Financial Services,LTF
L&T Technology Services Ltd.,Information Technology,LTTS
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN
Linde India Ltd.,Chemicals,LINDEINDIA
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME
Lupin Ltd.,Healthcare,LUPIN
MRF Ltd.,Automobile and Auto Components,MRF
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL
Mankind Pharma Ltd.,Healthcare,MANKIND
Marico Ltd.,Fast Moving Consumer Goods,MARICO
Max Financial Services Ltd.,Financial Services,MFSL
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK
Metro Brands Ltd.,Consumer Durables,METROBRAND
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI
MphasiS Ltd.,Information Technology,MPHASIS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
NLC India Ltd.,Power,NLCINDIA
NMDC Ltd.,Metals & Mining,NMDC
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
Oberoi Realty Ltd.,Realty,OBEROIRLTY
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
One 97 Communications Ltd.,Financial Services,PAYTM
Oracle Financial Services Software Ltd.,Information Technology,OFSS
PB Fintech Ltd.,Financial Services,POLICYBZR
PI Industries Ltd.,Chemicals,PIIND
Page Industries Ltd.,Textiles,PAGEIND
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI
Persistent Systems Ltd.,Information Technology,PERSISTENT
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
Phoenix Mills Ltd.,Realty,PHOENIXLTD
Polycab India Ltd.,Capital Goods,POLYCAB
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA
Prestige Estates Projects Ltd.,Realty,PRESTIGE
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH
Rail Vikas Nigam Ltd.,Construction,RVNL
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
SJVN Ltd.,Power,SJVN
SKF India Ltd.,Capital Goods,SKFINDIA
SRF Ltd.,Chemicals,SRF
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER
Solar Industries India Ltd.,Chemicals,SOLARINDS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH
Steel Authority of India Ltd.,Metals & Mining,SAIL
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST
Supreme Industries Ltd.,Capital Goods,SUPREMEIND
Suzlon Energy Ltd.,Capital Goods,SUZLON
Syngene International Ltd.,Healthcare,SYNGENE
Tata Chemicals Ltd.,Chemicals,TATACHEM
Tata Communications Ltd.,Telecommunication,TATACOMM
Tata Elxsi Ltd.,Information Technology,TATAELXSI
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
Tata Technologies Ltd.,Information Technology,TATATECH
The New India Assurance Company Ltd.,Financial Services,NIACL
Thermax Ltd.,Capital Goods,THERMAX
Timken India Ltd.,Capital Goods,TIMKEN
Torrent Power Ltd.,Power,TORNTPOWER
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA
UPL Ltd.,Chemicals,UPL
United Breweries Ltd.,Fast Moving Consumer Goods,UBL
Vodafone Idea Ltd.,Telecommunication,IDEA
Voltas Ltd.,Consumer Durables,VOLTAS
Yes Bank Ltd.,Financial Services,YESBANK
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA